onset	duration	Controlled	SocialNorms	Lips	Throat	Muscle	trial
19	5	7.5	7.5	72.5	72.5	72.5	clip_1
60	6	92.0	92.0	4.5	4.5	4.5	clip_2
95	5	89.5	5.5	3.0	3.0	3.0	clip_3
131	5	89.0	89.0	6.5	6.5	6.5	clip_4
147	6	85.5	85.5	48.0	48.0	48.0	clip_5
176	6	50.0	50.0	50.0	50.0	50.0	clip_6
210	5	95.0	2.5	6.0	6.0	6.0	clip_7
233	5	68.5	15.0	9.0	9.0	9.0	clip_8
255	7	90.5	90.5	9.5	9.5	9.5	clip_9
286	6	30.5	10.0	10.0	10.0	10.0	clip_10
343	5	50.0	50.0	50.0	50.0	50.0	clip_11
385	8	81.0	89.5	14.5	14.5	14.5	clip_12
412	8	76.0	76.0	7.5	7.5	7.5	clip_13
465	7	90.5	90.5	6.0	6.0	6.0	clip_14
518	6	48.0	48.0	48.0	48.0	48.0	clip_15
555	5	50.0	50.0	50.0	50.0	50.0	clip_16
594	7	91.0	89.5	5.0	5.0	5.0	clip_17
611	7	97.5	97.5	2.0	2.0	2.0	clip_18
633	7	50.0	50.0	50.0	50.0	50.0	clip_19
666	4	6.5	49.5	55.0	55.0	55.0	clip_20
701	9	3.5	3.5	74.5	48.5	48.5	clip_21
740	8	93.5	93.5	10.5	10.5	10.5	clip_22
778	9	4.5	4.5	77.5	77.5	77.5	clip_23
799	7	4.5	4.5	74.5	74.5	74.5	clip_24
839	5	5.0	5.0	68.0	68.0	68.0	clip_25
894	6	89.0	89.0	54.0	54.0	54.0	clip_26
962	7	91.0	91.0	80.0	80.0	80.0	clip_27
1002	8	100.0	100.0	51.0	94.0	94.0	clip_28
1022	5	6.0	6.0	87.0	87.0	87.0	clip_29
