onset	duration	Controlled	SocialNorms	Lips	Throat	Muscle	trial
16	5	50.0	50.0	50.0	50.0	50.0	clip_1
45	6	86.5	86.5	10.5	10.5	10.5	clip_2
80	6	10.5	10.5	51.5	51.5	51.5	clip_3
110	7	87.0	87.0	5.5	5.5	5.5	clip_4
140	6	50.0	50.0	50.0	50.0	50.0	clip_5
173	7	1.0	1.0	1.0	1.0	1.0	clip_6
193	6	89.0	8.5	8.5	8.5	8.5	clip_7
225	5	91.0	3.5	3.5	3.5	3.5	clip_8
243	5	93.0	93.0	3.5	3.5	3.5	clip_9
250	8	91.5	91.5	1.0	1.0	1.0	clip_10
270	4	94.0	94.0	8.5	8.5	8.5	clip_11
310	6	90.0	90.0	7.5	7.5	7.5	clip_12
328	10	89.5	89.5	8.0	8.0	8.0	clip_13
360	6	92.5	7.0	8.5	8.5	8.5	clip_14
397	7	95.0	95.0	3.5	3.5	3.5	clip_15
440	5	80.0	48.5	48.5	48.5	48.5	clip_16
452	8	94.0	53.5	7.0	7.0	7.0	clip_17
478	6	50.0	5.5	5.0	5.0	5.0	clip_18
