onset	duration	Controlled	SocialNorms	Lips	Throat	Muscle	trial
16	5	46.5	46.5	46.5	46.5	46.5	clip_1
48	8	50.0	50.0	50.0	50.0	50.0	clip_2
68	4	50.0	50.0	50.0	50.0	50.0	clip_3
94	7	88.5	88.5	6.5	6.5	6.5	clip_4
116	4	85.5	85.5	11.5	11.5	11.5	clip_5
165	7	9.5	29.0	29.0	12.5	12.5	clip_6
196	6	15.0	15.0	15.0	15.0	15.0	clip_7
232	10	13.0	13.0	13.0	13.0	13.0	clip_8
285	5	9.5	9.5	66.0	66.0	66.0	clip_9
307	7	17.5	17.5	69.5	10.0	81.0	clip_10
355	10	11.0	54.0	54.0	54.0	54.0	clip_11
384	9	0.0	0.0	84.0	81.5	81.5	clip_12
