onset	duration	Controlled	SocialNorms	Lips	Throat	Muscle	trial
27	7	18.0	24.5	24.5	24.5	24.5	clip_1
55	6	23.0	70.0	25.0	25.0	25.0	clip_2
80	8	19.5	37.0	21.5	21.5	21.5	clip_3
103	6	29.0	29.0	29.0	29.0	29.0	clip_4
135	8	24.5	72.5	72.5	72.5	72.5	clip_5
184	6	18.0	22.0	22.0	22.0	22.0	clip_6
224	8	18.5	18.5	18.5	18.5	18.5	clip_7
251	10	22.5	75.5	46.0	46.0	46.0	clip_8
282	8	26.0	26.0	26.0	26.0	26.0	clip_9
316	5	25.0	76.5	76.5	38.0	38.0	clip_10
354	8	81.0	71.0	19.5	19.5	19.5	clip_11
372	6	22.5	51.0	51.0	51.0	51.0	clip_12
405	5	15.5	13.5	13.5	68.5	68.5	clip_13
442	7	19.0	13.5	52.0	52.0	52.0	clip_14
485	5	16.5	16.5	16.5	16.5	16.5	clip_15
