onset	duration	Controlled	SocialNorms	Lips	Throat	Muscle	trial
8	4	45.5	37.5	35.5	13.5	13.5	clip_1
51	8	100.0	100.0	100.0	14.0	33.0	clip_2
80	6	76.0	75.5	28.5	24.0	24.0	clip_3
108	6	73.5	79.0	20.5	20.5	20.5	clip_4
156	3	33.5	79.0	21.5	21.5	21.5	clip_5
209	5	87.0	87.0	2.5	2.5	2.5	clip_6
228	7	15.5	15.5	15.5	15.5	15.5	clip_7
252	6	12.5	12.5	12.5	12.5	12.5	clip_8
288	6	19.0	19.0	19.0	19.0	19.0	clip_9
330	6	17.5	17.5	17.5	17.5	17.5	clip_10
355	8	20.5	20.5	20.5	20.5	20.5	clip_11
390	6	17.5	17.5	17.5	17.5	17.5	clip_12
440	8	11.0	11.0	11.0	11.0	11.0	clip_13
468	9	81.5	84.0	55.5	55.5	55.5	clip_14
501	6	38.5	28.5	28.5	28.5	28.5	clip_15
