onset	duration	Controlled	SocialNorms	Lips	Throat	Muscle	trial
15	6	15.0	15.0	31.0	31.0	31.0	clip_1
38	6	9.5	78.5	20.0	20.0	20.0	clip_2
94	5	89.0	89.0	25.5	25.5	25.5	clip_3
160	8	13.5	13.5	30.5	30.5	30.5	clip_4
190	6	85.5	85.5	12.5	12.5	12.5	clip_5
225	7	89.5	89.5	20.5	20.5	20.5	clip_6
265	7	88.0	88.0	11.5	11.5	11.5	clip_7
298	7	12.0	12.0	34.5	34.5	34.5	clip_8
371	7	17.5	17.5	17.5	17.5	17.5	clip_9
420	5	77.5	77.5	36.0	36.0	36.0	clip_10
452	6	50.0	50.0	50.0	50.0	50.0	clip_11
510	6	8.0	8.0	23.5	23.5	23.5	clip_12
536	6	14.0	14.0	14.0	14.0	14.0	clip_13
575	7	7.5	19.5	45.0	45.0	45.0	clip_14
593	7	9.0	1.5	66.5	66.5	66.5	clip_15
633	7	5.5	5.5	84.0	84.0	84.0	clip_16
663	7	50.0	50.0	50.0	50.0	50.0	clip_17
706	7	8.5	8.5	8.5	8.5	8.5	clip_18
