onset	duration	Controlled	SocialNorms	Lips	Throat	Muscle	trial
30	6	50.0	50.0	50.0	50.0	50.0	clip_1
50	7	92.5	92.5	6.0	6.0	6.0	clip_2
71	5	91.0	91.0	8.0	8.0	8.0	clip_3
98	10	50.0	50.0	50.0	50.0	50.0	clip_4
128	5	50.0	50.0	50.0	50.0	50.0	clip_5
152	7	9.0	9.0	8.0	8.0	8.0	clip_6
195	8	4.0	4.0	4.0	4.0	4.0	clip_7
221	9	16.5	16.5	16.5	16.5	16.5	clip_8
255	5	50.0	50.0	50.0	50.0	50.0	clip_9
298	10	50.0	50.0	50.0	50.0	50.0	clip_10
336	4	50.0	50.0	50.0	50.0	50.0	clip_11
350	9	51.0	51.0	8.0	8.0	8.0	clip_12
376	9	81.0	7.5	15.0	15.0	15.0	clip_13
428	10	11.0	11.0	11.0	11.0	11.0	clip_14
455	4	86.0	91.5	6.0	6.0	6.0	clip_15
484	8	11.0	88.5	6.5	6.5	6.5	clip_16
510	10	15.0	77.0	13.0	13.0	13.0	clip_17
532	8	11.5	88.5	8.5	8.5	8.5	clip_18
553	7	7.5	4.5	10.0	10.0	10.0	clip_19
582	8	50.0	50.0	50.0	50.0	50.0	clip_20
