onset	duration	Controlled	SocialNorms	Lips	Throat	Muscle	trial
9	4	80.5	80.5	59.0	15.5	50.0	clip_1
37	8	17.5	47.5	47.5	47.5	47.5	clip_2
58	4	78.5	80.5	46.5	46.5	46.5	clip_3
80	4	22.5	22.5	44.5	44.5	44.5	clip_4
104	10	23.0	23.0	23.0	23.0	23.0	clip_5
134	7	20.0	50.0	50.0	50.0	50.0	clip_6
155	5	78.0	78.0	49.0	49.0	49.0	clip_7
188	6	50.0	50.0	50.0	50.0	50.0	clip_8
209	8	78.5	49.0	49.0	49.0	49.0	clip_9
237	8	50.0	50.0	50.0	50.0	50.0	clip_10
279	9	50.0	50.0	50.0	50.0	50.0	clip_11
307	5	50.0	50.0	50.0	50.0	50.0	clip_12
358	6	77.0	77.0	50.5	50.5	50.5	clip_13
374	9	4.0	50.0	50.0	50.0	70.0	clip_14
395	9	10.0	9.5	78.0	78.0	78.0	clip_15
432	8	20.0	55.5	55.5	55.5	55.5	clip_16
488	5	22.0	22.0	22.0	22.0	22.0	clip_17
512	8	72.5	72.5	72.5	72.5	72.5	clip_18
535	5	50.0	50.0	50.0	50.0	50.0	clip_19
576	6	50.0	50.0	50.0	50.0	50.0	clip_20
