onset	duration	Controlled	SocialNorms	Lips	Throat	Muscle	trial
3	7	13.5	13.5	20.5	20.5	20.5	clip_1
44	7	83.5	83.5	17.0	17.0	17.0	clip_2
76	5	34.0	30.5	20.5	20.5	20.5	clip_3
95	8	82.0	82.0	13.5	13.5	13.5	clip_4
139	8	82.5	82.5	16.0	16.0	16.0	clip_5
193	9	84.5	84.5	14.5	14.5	14.5	clip_6
230	7	83.0	83.0	15.5	15.5	15.5	clip_7
270	10	16.5	9.0	9.0	9.0	9.0	clip_8
316	9	85.0	85.0	16.0	16.0	16.0	clip_9
360	8	80.5	80.5	19.5	19.5	19.5	clip_10
420	10	84.5	84.5	20.5	43.0	16.0	clip_11
466	8	84.0	84.0	27.5	27.5	27.5	clip_12
493	8	83.5	83.5	15.0	15.0	15.0	clip_13
525	9	79.5	79.5	14.0	14.0	14.0	clip_14
559	5	85.0	85.0	7.5	7.5	7.5	clip_15
576	8	11.5	11.5	87.5	11.5	11.5	clip_16
590	4	10.5	10.5	10.5	10.5	10.5	clip_17
628	8	11.5	11.5	52.5	52.5	52.5	clip_18
653	5	19.0	77.0	15.5	15.5	15.5	clip_19
670	6	18.5	18.5	50.5	50.5	50.5	clip_20
689	3	9.5	9.5	51.5	51.5	51.5	clip_21
721	6	12.5	12.5	47.5	47.5	47.5	clip_22
737	5	11.0	11.0	11.0	11.0	11.0	clip_23
766	8	16.0	16.0	50.0	50.0	50.0	clip_24
