onset	duration	Controlled	SocialNorms	Lips	Throat	Muscle	trial
15	9	64.0	83.5	11.0	11.0	11.0	clip_1
35	5	84.5	84.5	10.0	10.0	10.0	clip_2
63	6	50.0	50.0	50.0	50.0	50.0	clip_3
116	7	84.0	84.0	10.0	10.0	10.0	clip_4
162	8	50.0	50.0	50.0	50.0	50.0	clip_5
185	7	50.0	50.0	50.0	50.0	50.0	clip_6
203	5	9.5	9.5	9.5	9.5	9.5	clip_7
248	7	4.5	4.5	4.5	4.5	4.5	clip_8
286	8	84.5	5.5	5.5	5.5	5.5	clip_9
333	7	0.0	50.5	50.5	50.5	50.5	clip_10
360	7	0.5	0.5	0.0	0.0	0.0	clip_11
383	7	5.5	5.5	10.0	10.0	10.0	clip_12
412	6	3.0	7.0	7.0	7.0	7.0	clip_13
470	9	5.5	47.0	47.0	47.0	47.0	clip_14
517	6	4.5	50.5	50.5	50.5	50.5	clip_15
543	7	6.0	47.5	47.5	47.5	47.5	clip_16
584	8	50.0	50.0	50.0	50.0	50.0	clip_17
