onset	duration	Controlled	SocialNorms	Lips	Throat	Muscle	trial
1	5	4.5	4.5	4.5	4.5	4.5	clip_1
26	5	92.0	92.0	14.0	14.0	14.0	clip_2
51	6	89.5	89.5	15.0	15.0	15.0	clip_3
65	6	18.5	81.5	16.0	16.0	16.0	clip_4
99	9	16.0	16.0	44.5	44.5	44.5	clip_5
132	8	50.0	50.0	50.0	50.0	50.0	clip_6
210	8	17.5	17.5	15.5	15.5	15.5	clip_7
240	9	91.0	91.0	14.0	14.0	14.0	clip_8
263	5	50.0	50.0	50.0	50.0	50.0	clip_9
296	9	88.5	9.0	9.0	9.0	9.0	clip_10
328	6	94.0	92.0	10.0	10.0	10.0	clip_11
376	8	89.0	89.0	10.0	10.0	10.0	clip_12
393	11	89.5	89.5	16.0	16.0	16.0	clip_13
422	9	0.0	0.0	0.0	0.0	0.0	clip_14
466	5	2.0	2.0	2.0	2.0	2.0	clip_15
535	8	34.5	54.0	54.0	54.0	54.0	clip_16
551	8	97.5	4.0	4.0	4.0	4.0	clip_17
574	6	6.0	93.5	53.5	53.5	53.5	clip_18
599	7	50.0	50.0	50.0	50.0	50.0	clip_19
641	8	77.0	84.5	84.5	25.5	25.5	clip_20
