onset	duration	Controlled	SocialNorms	Lips	Throat	Muscle	trial
6	5	49.5	49.5	49.5	49.5	49.5	clip_1
29	5	50.0	50.0	50.0	50.0	50.0	clip_2
60	6	7.0	50.5	50.5	50.5	50.5	clip_3
82	7	8.0	55.0	9.0	9.0	9.0	clip_4
113	6	20.0	7.5	49.0	49.0	49.0	clip_5
134	6	99.0	1.0	24.0	24.0	24.0	clip_6
166	9	25.5	46.0	46.0	46.0	46.0	clip_7
196	8	63.5	42.5	18.5	18.5	18.5	clip_8
239	8	90.0	90.0	15.0	15.0	15.0	clip_9
267	9	86.0	16.0	16.0	16.0	16.0	clip_10
307	10	89.5	51.0	51.0	51.0	51.0	clip_11
352	8	85.5	14.5	13.5	13.5	13.5	clip_12
392	6	88.0	7.5	7.5	7.5	7.5	clip_13
405	7	89.5	12.5	10.5	10.5	10.5	clip_14
443	8	90.0	7.5	7.5	7.5	7.5	clip_15
507	9	82.5	82.5	33.5	33.5	33.5	clip_16
532	7	14.5	14.5	59.5	59.5	59.5	clip_17
570	7	50.0	50.0	50.0	50.0	50.0	clip_18
598	9	82.5	11.5	27.5	27.5	27.5	clip_19
645	8	87.0	87.0	50.0	50.0	50.0	clip_20
674	5	50.0	50.0	50.0	50.0	50.0	clip_21
707	9	93.0	14.5	62.5	62.5	62.5	clip_22
740	7	47.5	47.5	47.5	47.5	47.5	clip_23
776	10	50.0	50.0	50.0	50.0	50.0	clip_24
803	5	89.0	8.5	68.5	68.5	68.5	clip_25
829	7	91.5	91.5	91.5	91.5	91.5	clip_26
864	6	81.0	81.0	53.5	53.5	53.5	clip_27
910	8	91.0	91.0	91.0	91.0	91.0	clip_28
955	10	85.5	54.0	54.0	54.0	54.0	clip_29
972	7	91.5	91.5	77.5	77.5	77.5	clip_30
986	6	50.0	50.0	50.0	50.0	50.0	clip_31
